2025.06.02,01:00,3299.16,3299.76,3295.42,3298.41,142
2025.06.02,01:01,3298.41,3304.59,3297.96,3304.59,162
2025.06.02,01:02,3304.6,3304.97,3302.15,3304.26,145
2025.06.02,01:03,3304.46,3305.88,3304.1,3305.42,121
2025.06.02,01:04,3305.45,3305.47,3302.48,3303.05,110
2025.06.02,01:05,3303.05,3306.28,3303.05,3305.59,145
2025.06.02,01:06,3305.6,3305.6,3304.85,3305.08,72
2025.06.02,01:07,3305.09,3308.71,3304.73,3308.71,318
2025.06.02,01:08,3308.6,3308.61,3306.21,3306.61,101
2025.06.02,01:09,3306.61,3308.53,3306.51,3308.26,108
2025.06.02,01:10,3308.22,3308.22,3306.91,3307.1,80
2025.06.02,01:11,3307.1,3307.44,3305.94,3306.77,109
2025.06.02,01:12,3306.89,3309.44,3306.83,3308.06,136
2025.06.02,01:13,3308.14,3308.14,3307.06,3307.56,122
2025.06.02,01:14,3307.42,3307.69,3307.06,3307.06,92
2025.06.02,01:15,3307.06,3307.83,3306.62,3307.46,105
2025.06.02,01:16,3307.46,3308.36,3306.19,3306.19,116
2025.06.02,01:17,3306.26,3306.46,3304.89,3305.7,169
2025.06.02,01:18,3305.71,3306.93,3305.6,3306.93,68
2025.06.02,01:19,3306.93,3307.33,3306.43,3306.73,91
2025.06.02,01:20,3306.73,3306.8,3305.57,3305.97,82
2025.06.02,01:21,3306,3306.11,3303.63,3304.55,104
2025.06.02,01:22,3304.61,3304.97,3303.99,3304.4,78
2025.06.02,01:23,3304.25,3304.31,3303.74,3303.85,78
2025.06.02,01:24,3303.83,3304.18,3302.2,3302.74,122
2025.06.02,01:25,3302.69,3302.69,3299.86,3301.78,161
2025.06.02,01:26,3301.77,3303.33,3301.51,3303.13,109
2025.06.02,01:27,3303.08,3304.47,3303.08,3303.82,102
2025.06.02,01:28,3303.82,3304.72,3303.82,3304.34,61
2025.06.02,01:29,3304.38,3304.71,3303.67,3303.78,67
2025.06.02,01:30,3303.76,3304.69,3303.69,3304.47,98
2025.06.02,01:31,3304.47,3304.66,3302.9,3303.64,83
2025.06.02,01:32,3303.59,3304.45,3303.49,3304.31,65
2025.06.02,01:33,3304.26,3304.26,3303.25,3303.45,45
2025.06.02,01:34,3303.44,3303.95,3303.26,3303.76,80
2025.06.02,01:35,3303.62,3304.08,3303.11,3303.19,68
2025.06.02,01:36,3303.2,3303.22,3302.33,3302.58,79
2025.06.02,01:37,3302.64,3303.73,3302.64,3303.22,100
2025.06.02,01:38,3303.27,3303.82,3303.22,3303.73,30
2025.06.02,01:39,3303.88,3303.94,3303.27,3303.92,91
2025.06.02,01:40,3303.93,3304.5,3303.72,3303.78,64
2025.06.02,01:41,3303.79,3304.76,3303.73,3304.67,41
2025.06.02,01:42,3304.67,3304.68,3304.11,3304.57,49
2025.06.02,01:43,3304.52,3305.3,3304.51,3304.58,51
2025.06.02,01:44,3304.58,3305.76,3304.45,3305.65,61
